imageid,keywords,year,_material,_height,_width,_time,_description
7c05b6f6-98b3-41ce-85c5-d8cc2bbc5460,"Paris,drawing,Still Life,Figures",1886,charcoal,4820,6170,1886,"Bust of a Young Warrior"
238f66e2-d8d1-46ee-aae5-622f68db2a55,"Nuenen,painting,Still Life",1884,"oil on canvas",3170,4270,1884,"Vase with Honesty"
8b666963-b452-47bc-927d-65bc62815498,"Saint-Rémy-de-Provence,drawing,Nature",1889,chalk,4630,4980,1889,"Fountain in the Garden of the Asylum"
9fab15d6-b832-45a8-a676-d501d1314989,"Arles,drawing,Seascape,landscape",1888,pencil,4750,3100,1888,"Beach at Les Saintes-Maries-de-la-Mer"
b0e87c59-d543-4137-b720-d6e358d1383c,"sketch,drawing",1886,"chalk on paper",1360,1020,1886,"Head of a Man"
95ad5c0c-21da-41f4-93e6-9e350f2c5009,"Nuenen,drawing,Figures",1885,"chalk on paper",2110,3460,1885,"Stocky Man"
cfd1c1be-711d-4704-ba95-3513cab4243e,"Saint-Rémy-de-Provence,drawing,interior",1890,pencil,2490,3250,1890,"Chair by a Fireplace"
6e1093af-c4e2-4b40-88b1-556933df4f21,"Saint-Rémy-de-Provence,drawing,landscape,Townscape,Figures,Peasant Life",1890,"pencil on paper",3180,2390,1890,"Landscape with a House and Two Men"
4065ce17-8603-41c6-987f-d958cf09ebf8,"Nuenen,sketch,drawing",1884,"pencil on paper",750,1240,"1884 - 1885","Contour of a head with construction lines"
ca377f99-a5a7-4113-8ef8-3cb34ad30685,"Nuenen",1884,"chalk on paper",750,1240,"1884 - 1885",Note
ffd5d02e-b496-4e23-8a76-1f33862cca1e,"sketch,drawing",1890,"chalk on paper",850,1340,1890,"Man with Bag"
1a8f45d8-34c7-449a-be8d-a47f3e63e234,"Nuenen,sketch,drawing",1884,"chalk on paper",750,1240,"1884 - 1885","Indistinct image"
fc98e3d3-655e-4fca-bf54-283755ba50e1,"Nuenen,drawing,Figures,interior,Peasant Life",1885,"chalk on paper",3440,2120,1885,"Three People Sharing a Meal"
89872373-928e-4784-ba16-e3b56c458270,"Nuenen,sketch,drawing",1884,"chalk on paper",750,1240,"1884 - 1885",Woman
61fbedad-1d68-4b96-8f08-2c6ec01eb911,"Arles,painting,Figures,landscape,Peasant Life",1888,"oil on canvas",4030,3250,1888,"The Sower"
1d2db4c3-0003-4b47-9809-1bc62cd2ee6a,"Saint-Rémy-de-Provence,drawing,Figures",1890,"pencil on paper",2390,3190,1890,"Sketches of Figures Seated at a Table"
7645e5ff-d9b8-4e44-9d62-2fbcc08c7621,"Nuenen,drawing,Figures",1884,"pencil on paper",3450,2130,"1884 - 1885","Two Hands with a Stick"
2dd9fd00-5c86-4981-8bfe-9c4265d993be,"Saint-Rémy-de-Provence,drawing,landscape,Nature",1889,"chalk on paper",3250,2500,1889,"Landscape with Pine Trees"
5d97dd51-a4e2-422b-8bbd-381ab16e48d2,"sketch,drawing",1890,"pencil on paper",850,1340,1890,"Two Mounts"
727df4c8-17a0-437b-89f0-9a552e801d4a,"Paris,painting,Cityscape,landscape",1887,"oil on canvas",8140,4520,1887,"Montmartre: Windmills and Allotments"
806a67dd-1a35-4364-a87c-ca56dd5ffc79,"Nuenen,drawing,Figures,Heads,Peasant Life",1884,"pencil on paper",2100,3450,"1884 - 1885","Head of a Woman"
784fb127-517f-4ec6-abd5-1e894556cd78,"Nuenen,drawing,Figures",1884,"pencil on paper",3450,2110,"1884 - 1885","Three Hands"
c15088d0-9795-4af7-bfbd-9fc48cb440ad,"sketch,drawing",1890,"chalk on paper",850,1340,1890,"Head of a Man"
aac21e1a-3d49-426c-be73-466d9adb9b8d,"Saint-Rémy-de-Provence,drawing,Nature",1889,"pencil on paper",2920,1850,1889,"Trees in the Garden of the Asylum"
bbea9540-727e-4aa6-a636-894d83283b09,"Arles,drawing,Nature,landscape,Blossom",1888,chalk,3070,4540,1888,"Blossoming PeachTrees"
3521674c-e687-459a-81ed-2f9479e72562,"Nuenen,drawing,landscape,Townscape,Peasant Life",1885,"chalk on paper",3000,2260,1885,"Landscape with Cottages and a Mill"
daa2cb7e-062e-4e89-a69a-2392a7efac0d,"Paris,drawing,Figures,landscape",1887,"pencil on paper",2100,1360,1887,"Couple Out for a Stroll"
a0193e7e-f200-4c3a-89cf-83752d8731b2,"sketch,drawing",1885,"chalk on paper",1360,1020,"1885 - 1886","Cart and Two Rabbits in a Snowy Landscape"
2fe5707a-de0a-40fd-8a62-33dc3a41eae3,"sketch,drawing",1890,"pencil on paper",850,1340,1890,"Two Horses (lower part)"
9b058484-4add-4fe7-bde4-763cb400cc2a,"Auvers-sur-Oise,drawing,Still Life,Figures,Heads",1890,"chalk on paper",2390,3140,1890,"Egyptian Head and Figure Study"
e9329feb-ed52-4bdc-8ff9-17d22ce2e5af,"The Hague,drawing,Cityscape",1882,pencil,3380,2380,1882,Gasworks
9d17ce25-7e1f-4791-a4d2-368723c5284a,"Paris,painting,Still Life",1887,"oil on canvas",4120,3250,1887,"Basket of Crocus Bulbs"
2c3bf081-e2f7-4737-9700-41f6a50a8c37,"Paris,drawing,study,Figures,Still Life,nude",1886,"chalk on paper",4550,6110,1886,"Torso of Venus"
77a146d6-3884-4d04-8232-8bd6865baa91,"Nuenen,painting,Still Life",1885,"oil on canvas",6050,4500,1885,"Basket of Potatoes"
af93e3ff-c20f-4946-9b3e-83c984223f30,"The Hague,drawing,sketch,Figures,Peasant Life",1883,,670,1000,1883,"Fisherwoman with a Net"
e1cd34ee-4b55-48be-ac2c-517ad8b4ab50,"Nuenen,drawing,Figures,Peasant Life",1885,pencil,2070,3170,1885,"Seated Woman"
5f6550f6-410b-4e11-b782-16807be03d70,"Nuenen,drawing,landscape,Peasant Life",1885,"chalk on paper",4430,5630,1885,Reaper
f8de89c5-0862-4fe9-b12c-d1dc30e2e822,"Paris,drawing,Cityscape",1886,chalk,1680,1010,1886,"View of Montmartre"
87170f32-0412-476a-b347-fcd8ac76d731,"Paris,drawing,study,Figures",1886,"chalk on paper",3830,1980,1886,"A Woman&#39;s Legs"
43e0f3f5-afb4-4f1c-bb7c-fd92534cb2b4,"The Hague,drawing,Figures",1882,pencil,3160,5060,1882,Digger
395aed62-76a6-4ff6-aae2-6be180167445,"Saint-Rémy-de-Provence,drawing,Nature",1889,"pencil on paper",2960,2010,1889,"Pine Trees and Wall in the Garden of the Asylum"
5f8035e4-16c1-4bf0-9bd5-10c129d6c4ff,"Nuenen,drawing,Figures,Heads,Peasant Life",1884,"chalk on paper",2090,3460,"1884 - 1885","Head of a Woman"
3c01060e-0e4d-4aab-b9b9-3c3d5d93b3cd,"Paris,sketch,drawing",1886,"chalk on paper",1980,1090,1886,"Figure Study"
